connections,threads,rps,latency_avg,transfer,errors_timeout
5,2,11100.95000,1.30600,23058.43200,16.4
15,2,31240.17000,0.38151,64890.88000,56.6
25,2,33286.99200,0.43544,69142.52800,90.6
35,2,35993.83600,0.56081,74764.28800,140.2
45,2,40572.56400,0.63241,84273.15200,159.2
55,2,44422.01000,0.68857,92268.54400,153.6
65,2,55731.26600,0.73284,115759.10400,217.2
75,2,50607.60800,0.80308,105119.74400,296.8
85,2,51423.72000,0.87200,106815.48800,289.2
95,2,52209.62800,0.94800,108447.74400,322.6
105,2,52950.56000,1.03000,109985.79200,360
115,2,52425.96400,1.11200,108898.30400,408.2
125,2,49574.85200,1.17800,102973.44000,346.8
135,2,61169.92200,1.25200,127059.96800,363.8
145,2,59947.63400,1.30400,124520.44800,441.6
155,2,52418.28600,1.34600,108879.87200,458
165,2,52320.88000,1.35200,108677.12000,442.8
175,2,53122.01400,1.36200,110342.14400,391.8
185,2,53138.49800,1.35800,110376.96000,340.6
195,2,52688.64800,1.39000,109441.02400,517.4
205,2,56908.82600,1.41400,118208.51200,429.2
215,2,49639.93600,1.40200,103108.60800,472
225,2,58768.56200,1.42800,122071.04000,385.2
235,2,55860.92200,1.39600,116029.44000,446.6
245,2,49545.17200,1.41400,102912.00000,499.6
255,2,59377.21600,1.42200,123336.70400,437.8
265,2,55294.66200,1.50200,114855.93600,432.4
275,2,52625.42600,1.49000,109312.00000,387
285,2,56907.19000,1.54000,118204.41600,457.4
295,2,56885.90800,1.58800,118161.40800,426
305,3,72755.61000,1.40400,151126.01600,537.8
315,3,69777.65800,1.58600,144939.00800,521.6
325,3,71629.46800,1.45000,148785.15200,515.2
335,3,71824.13400,1.73800,149188.60800,517
345,3,71589.25400,1.86000,148701.18400,525.6
355,3,71494.44200,1.77800,148504.57600,476.4
365,3,76708.33400,1.90400,159332.35200,481.4
375,3,72083.91400,2.08400,149729.28000,547.4
385,3,71735.40600,2.46000,149004.28800,562.2
395,3,71460.20000,1.85000,148434.94400,547.2
405,4,86499.29800,3.32800,179673.08800,700
415,4,86436.01600,3.01000,179544.06400,463.2
425,4,96987.98000,4.90800,201459.71200,574.6
435,4,85354.09000,3.35800,177293.31200,642.4
445,4,84924.20000,5.43000,176400.38400,705.2
455,4,92328.32200,8.92400,191778.81600,546.6
465,4,75065.85800,11.02000,155924.48000,523.8
475,4,85720.92200,4.17000,178055.16800,588.4
485,4,91815.08000,7.29000,190713.85600,637.2
495,4,77209.02400,14.28000,160374.78400,698.4
500,5,78150.68600,12.55600,162330.62400,785.8
550,5,76412.48000,12.98200,158720.00000,801.8
600,6,80400.39400,25.90000,167004.16000,750.8
650,6,55457.87400,22.81600,115191.80800,931.2
700,7,46429.84400,22.00200,96440.32000,911.4
750,7,38523.41600,18.19000,80017.40800,752.6
800,8,55158.12800,19.53400,114571.26400,1048.8
850,8,47226.65600,17.22400,98095.10400,957
900,9,47335.77200,18.21200,98324.48000,968.8
950,9,48237.95600,18.84800,100196.35200,946.6
1000,10,54219.72000,19.11800,112621.56800,791
1050,10,42280.73200,16.61600,87822.33600,1153.2
1100,11,50817.28800,21.49200,105553.92000,913
1150,11,39846.92400,18.52200,82769.92000,870.6
1200,12,38969.29600,18.13000,80945.15200,994.8
1250,12,45097.64800,19.28600,93673.47200,969.2
1300,12,32779.02400,17.55200,68085.76000,946.2
1350,12,38427.62600,21.80800,79818.75200,950
1400,12,31580.99000,20.24000,65599.48800,1020.8
1450,12,37937.82600,16.48600,78804.99200,1150.8
